# BacteriaId,Frame,Time,X,Y,oldX,oldY,dX,dY
11.000,736.000,24.558,-3.380,-9.876,1100.000,179.000,-8.513,-24.458
11.000,737.000,24.591,-1.042,-12.888,1102.000,175.000,2.338,-3.012
11.000,738.000,24.625,2.062,-8.599,1105.000,178.000,3.104,4.289
11.000,739.000,24.658,3.856,-31.739,1107.000,154.000,1.794,-23.140
11.000,740.000,24.691,9.470,-18.565,1113.000,164.000,5.614,13.174
11.000,741.000,24.725,-4.477,-4.709,1100.000,176.000,-13.947,13.857
11.000,742.000,24.758,-24.029,-4.238,1080.000,176.000,-19.552,0.471
11.000,743.000,24.791,-10.626,-25.814,1091.000,154.000,13.403,-21.576
11.000,744.000,24.825,-9.564,-43.233,1091.000,134.000,1.063,-17.419
11.000,745.000,24.858,-2.607,-50.909,1097.000,122.000,6.956,-7.677
11.000,746.000,24.892,-3.347,-57.819,1096.000,110.000,-0.739,-6.909
11.000,747.000,24.925,-7.012,-66.037,1092.000,96.000,-3.665,-8.218
11.000,748.000,24.958,6.689,-45.433,1105.000,110.000,13.701,20.604
11.000,749.000,24.992,-3.980,-28.890,1095.000,122.000,-10.669,16.543
11.000,750.000,25.025,-4.582,-26.001,1094.000,122.000,-0.602,2.889
11.000,751.000,25.058,-2.123,-31.401,1096.000,114.000,2.458,-5.400
11.000,752.000,25.092,4.089,-32.261,1102.000,110.000,6.212,-0.860
11.000,753.000,25.125,-1.320,-45.035,1097.000,94.000,-5.409,-12.774
11.000,754.000,25.158,-25.188,-40.531,1073.000,94.000,-23.868,4.503
11.000,755.000,25.192,-1.669,-24.478,1094.000,106.000,23.519,16.053
11.000,756.000,25.225,22.498,-18.030,1118.000,110.000,24.167,6.448
11.000,757.000,25.259,14.248,7.773,1112.000,134.000,-8.250,25.803
11.000,758.000,25.292,-5.177,-10.004,1094.000,117.000,-19.425,-17.777
11.000,759.000,25.325,15.341,-23.004,1114.000,103.000,20.518,-13.000
11.000,760.000,25.359,2.807,-9.704,1103.000,114.000,-12.534,13.300
11.000,761.000,25.392,24.526,-14.733,1125.000,108.000,21.719,-5.030
11.000,762.000,25.425,34.073,-0.260,1137.000,121.000,9.547,14.473
11.000,763.000,25.459,25.666,-22.234,1132.000,99.000,-8.407,-21.974
11.000,764.000,25.492,6.100,-25.011,1115.000,94.000,-19.567,-2.777
11.000,765.000,25.525,-13.510,-6.509,1096.000,110.000,-19.610,18.501
11.000,766.000,25.559,-18.159,6.141,1090.000,122.000,-4.649,12.651
11.000,767.000,25.592,-39.343,13.527,1067.000,130.000,-21.184,7.386
11.000,768.000,25.626,-13.409,22.175,1089.000,140.000,25.934,8.647
11.000,769.000,25.659,-12.068,28.957,1089.000,149.000,1.341,6.783
11.000,770.000,25.692,-9.861,19.061,1090.000,142.000,2.207,-9.896
11.000,771.000,25.726,-14.875,-0.845,1084.000,124.000,-5.014,-19.906
11.000,772.000,25.759,-25.388,17.240,1072.000,142.000,-10.512,18.084
11.000,773.000,25.792,-18.849,-2.484,1076.000,124.000,6.539,-19.724
11.000,774.000,25.826,-27.964,-0.236,1065.000,126.000,-9.115,2.248
11.000,775.000,25.859,-18.168,21.788,1072.000,148.000,9.796,22.024
11.000,776.000,25.893,-15.351,40.609,1073.000,169.000,2.817,18.821
11.000,777.000,25.926,-14.816,39.548,1072.000,172.000,0.535,-1.061
